DNB_dataset,title,UB,year,GND_person,person,GND_author,author,sachgruppen
890470251,Sturmhöhe / Emily Bronte͏̈. Aus d. Engl. übers. u. mit e. Nachw. von Ingrid Rein,UB 8279,1989.0,118638017 + 110746198,"Brontë, Emily (Verfasser) + Rein, Ingrid (Übersetzer)",118638017,"Brontë, Emily ",59 Belletristik
890470138,Stücke : Texte über Deutschland ; (1957 - 1979) / Heiner Müller. [Hrsg. u. mit e. Nachw. von Frank Hörnigk],UB 1263,1989.0,118584944,"Müller, Heiner (Verfasser)",118584944,"Müller, Heiner ",59 Belletristik
900330082,Stücke : [aus dem Französischen] / Jean-Paul Sartre. [Hrsg. von Vincent von Wroblewsky],UB 1278,1989.0,11860564X,"Sartre, Jean-Paul (Verfasser)",11860564X,"Sartre, Jean-Paul ",59 Belletristik + 55 Romanische Sprach- und Literaturwissenschaft
900488735,"Studien zur Kunstgeschichte : [Albrecht Dürer, Pieter Bruegel, El Greco, Michelangelo, Tintoretto, gotische Kunst, Katakombenmalerei] / Max Dvořák. Mit e. Essay von Irma Emmrich",UB 1309,1989.0,118528378 + 174166087,"Dvořák, Max (Mitwirkender) + Emmrich, Irma (Mitwirkender)",,,46 Bildende Kunst
891188282,Stine : Roman / Theodor Fontane. Mit e. Nachw. von Dietrich Bode,UB 7693,1989.0,118534262,"Fontane, Theodor (Verfasser)",118534262,"Fontane, Theodor ",59 Belletristik
890899940,Stil und Gedanke / Arnold Schönberg. [Im Orig. engl. Texte übers. von Gudrun Budde. Hrsg. von Frank Schneider],UB 1274,1989.0,118610023,"Schönberg, Arnold (Verfasser)",118610023,"Schönberg, Arnold ",48 Musik
890470286,Stella : ein Trauerspiel ; im Anhang: Schluss der ersten Fassung / Johann Wolfgang Goethe. Nachw. von Helmut Bachmaier,UB 104,1989.0,118540238,"Goethe, Johann Wolfgang von (Verfasser)",118540238,"Goethe, Johann Wolfgang von ",59 Belletristik
900422297,Sokrates : Versuch einer Biografie / Johannes Irmscher,UB 911,1989.0,119489201,"Irmscher, Johannes (Verfasser)",119489201,"Irmscher, Johannes ",10 Philosophie
890990948,Signale und Windstösse : Gedichte und Prosa / Gerhard Meier. Ausw. u. Nachw. von Heinz F. Schafroth,UB 8552,1989.0,118967495,"Meier, Gerhard (Verfasser)",118967495,"Meier, Gerhard ",59 Belletristik
890990956,Selbstgespräch für andere : Gedichte und Prosa / Reiner Kunze. Ausw. u. Nachw. von Heiner Feldkamp,UB 8543,1989.0,118568124,"Kunze, Reiner (Verfasser)",118568124,"Kunze, Reiner ",59 Belletristik
