GND,Reclam_Autor,Reclam_tokens_Summe,Reclam_types_Summe,Reclam_UBs
https://d-nb.info/gnd/11852805X,"Dumas, Alexandre ",1.0,1.0,UB 245
https://d-nb.info/gnd/118528254,"Duras, Marguerite ",1.0,1.0,UB 19704
https://d-nb.info/gnd/118528661,"Ebner-Eschenbach, Marie von ",8.0,7.0,UB 7887 + UB 7887 + UB 7463 + UB 8455 + UB 14219 + UB 4328 + UB 14338 + UB 14558
https://d-nb.info/gnd/118502492,"Echnaton, Ägypten, Pharao ",1.0,1.0,UB 18492
https://d-nb.info/gnd/118529390,"Eichendorff, Joseph von ",12.0,9.0,UB 18102 + UB 2354 + UB 18540 + UB 18539 + UB 18798 + UB 2352 + UB 7925 + UB 19010 + UB 2354 + UB 19201 + UB 18539 + UB 18539
https://d-nb.info/gnd/1213307031,"Ellenrieder, Kathleen ",1.0,1.0,UB 15341
https://d-nb.info/gnd/118682105,"Ennius, Quintus ",1.0,1.0,UB 18566
https://d-nb.info/gnd/118530534,"Enzensberger, Hans Magnus ",1.0,1.0,UB 18136
https://d-nb.info/gnd/118530666,"Erasmus, Desiderius ",2.0,2.0,UB 7918 + UB 14284
https://d-nb.info/gnd/118799894,"Erhardt, Heinz ",2.0,1.0,UB 18332 + UB 18332
https://d-nb.info/gnd/119012278,"Ernaux, Annie ",1.0,1.0,UB 14505
https://d-nb.info/gnd/115774920,"Esquivel, Laura ",1.0,1.0,UB 19738
https://d-nb.info/gnd/118531395,Euripides ,14.0,10.0,UB 1337 + UB 8424 + UB 18354 + UB 18570 + UB 18768 + UB 18768 + UB 18911 + UB 940 + UB 19223 + UB 19264 + UB 7978 + UB 18354 + UB 8424 + UB 7978
https://d-nb.info/gnd/129719218,"Evaristo, Bernardine ",1.0,1.0,UB 14514
https://d-nb.info/gnd/118531905,"Fallada, Hans ",2.0,2.0,UB 14081 + UB 14258
https://d-nb.info/gnd/118533592,"Fitzgerald, F. Scott ",1.0,1.0,UB 9242
https://d-nb.info/gnd/118533754,"Flaubert, Gustave ",4.0,3.0,UB 20075 + UB 9142 + UB 20075 + UB 11109
https://d-nb.info/gnd/118533908,"Fleming, Paul ",2.0,1.0,UB 2455 + UB 2455
https://d-nb.info/gnd/118534262,"Fontane, Theodor ",29.0,23.0,UB 9487 + UB 8577 + UB 6961 + UB 20063 + UB 7635 + UB 18741 + UB 7791 + UB 18799 + UB 9910 + UB 8577 + UB 7635 + UB 8327 + UB 9320 + UB 7693 + UB 7688 + UB 7921 + UB 7603 + UB 6961 + UB 7791 + UB 6956 + UB 19603 + UB 19518 + UB 19513 + UB 19601 + UB 19597 + UB 9910 + UB 9320 + UB 14010 + UB 14208
https://d-nb.info/gnd/118534556,"Fouqué, Friedrich de La Motte- ",2.0,1.0,UB 491 + UB 491
https://d-nb.info/gnd/118534963,"Franz, von Assisi, Heiliger ",1.0,1.0,UB 19044
https://d-nb.info/gnd/120121751,"Freund, Winfried ",1.0,1.0,UB 17607
https://d-nb.info/gnd/118537598,"García Lorca, Federico ",11.0,7.0,UB 8525 + UB 18184 + UB 9129 + UB 18480 + UB 19718 + UB 19761 + UB 18480 + UB 9129 + UB 8525 + UB 18184 + UB 19391
https://d-nb.info/gnd/118537601,"García Márquez, Gabriel ",3.0,1.0,UB 19717 + UB 19717 + UB 19717
https://d-nb.info/gnd/118716328,"García Pavón, Francisco ",1.0,1.0,UB 7631
https://d-nb.info/gnd/128809590,"Gardner, Graham ",1.0,1.0,UB 19720
https://d-nb.info/gnd/120936356,"Gaulle-Anthonioz, Geneviève de ",1.0,1.0,UB 9130
https://d-nb.info/gnd/123657598,"Gavalda, Anna ",5.0,4.0,UB 9105 + UB 9148 + UB 19789 + UB 19765 + UB 9105
https://d-nb.info/gnd/1052857027,"Geißelbrecht, Georg ",1.0,1.0,UB 19505
https://d-nb.info/gnd/118538322,"Gellert, Christian Fürchtegott ",5.0,4.0,UB 8536 + UB 161 + UB 8973 + UB 8973 + UB 18610
https://d-nb.info/gnd/118716735,"Gellius, Aulus ",1.0,1.0,UB 19502
https://d-nb.info/gnd/11853856X,"George, Stefan ",1.0,1.0,UB 18553
https://d-nb.info/gnd/11884556X,"Gernhardt, Robert ",8.0,5.0,UB 8652 + UB 9500 + UB 8652 + UB 18619 + UB 9500 + UB 18619 + UB 9385 + UB 11111
https://d-nb.info/gnd/118690949,"Gerstenberg, Heinrich Wilhelm von ",1.0,1.0,UB 141
https://d-nb.info/gnd/118539124,"Gide, André ",1.0,1.0,UB 18977
https://d-nb.info/gnd/118695894,"Goes, Albrecht ",1.0,1.0,UB 8458
https://d-nb.info/gnd/118540238,"Goethe, Johann Wolfgang von ",61.0,45.0,UB 83 + UB 11157 + UB 67 + UB 61 + UB 71 + UB 88 + UB 6785 + UB 6785 + UB 18355 + UB 18519 + UB 18632 + UB 55 + UB 18794 + UB 7827 + UB 8343 + UB 7826 + UB 5273 + UB 6558 + UB 7621 + UB 83 + UB 71 + UB 6783 + UB 114 + UB 67 + UB 96 + UB 88 + UB 18945 + UB 104 + UB 55 + UB 9762 + UB 19089 + UB 19268 + UB 71 + UB 6782 + UB 18632 + UB 67 + UB 83 + UB 75 + UB 7835 + UB 18632 + UB 61 + UB 7621 + UB 55 + UB 1867 + UB 19482 + UB 11123 + UB 19594 + UB 7827 + UB 14048 + UB 14037 + UB 14182 + UB 14086 + UB 18698 + UB 14216 + UB 14250 + UB 14406 + UB 14370 + UB 9762 + UB 14369 + UB 14484 + UB 14551
https://d-nb.info/gnd/118540297,"Goetz, Curt ",1.0,1.0,UB 8445
https://d-nb.info/gnd/118540424,"Gogolʹ, Nikolaj Vasilʹevič ",10.0,7.0,UB 18277 + UB 19787 + UB 9628 + UB 19836 + UB 9489 + UB 837 + UB 1744 + UB 9628 + UB 1744 + UB 9628
https://d-nb.info/gnd/118696165,"Golding, William ",1.0,1.0,UB 19776
https://d-nb.info/gnd/118540505,"Goldoni, Carlo ",4.0,4.0,UB 3367 + UB 8934 + UB 463 + UB 9927
https://d-nb.info/gnd/118540688,"Goncourt, Edmond de  + Goncourt, Jules de ",1.0,1.0,UB 19253
https://d-nb.info/gnd/118540696,"Goncourt, Edmond de  + Goncourt, Jules de ",1.0,1.0,UB 19253
https://d-nb.info/gnd/118639293,"Gorʹkij, Maksim ",3.0,3.0,UB 9791 + UB 7671 + UB 14559
https://d-nb.info/gnd/118718215,"Goscinny, René ",1.0,1.0,UB 9204
https://d-nb.info/gnd/118540947,"Gottfried, von Straßburg ",1.0,1.0,UB 19679
https://d-nb.info/gnd/118540963,"Gotthelf, Jeremias ",4.0,2.0,UB 6489 + UB 6489 + UB 7747 + UB 6489
https://d-nb.info/gnd/118541013,"Gottsched, Johann Christoph ",3.0,2.0,UB 2097 + UB 2097 + UB 14008
https://d-nb.info/gnd/118696734,"Gottsched, Luise Adelgunde Victorie ",1.0,1.0,UB 14007
https://d-nb.info/gnd/118696823,"Gozzi, Carlo ",1.0,1.0,UB 8975
https://d-nb.info/gnd/118541102,"Grabbe, Christian Dietrich ",2.0,2.0,UB 397 + UB 258
https://d-nb.info/gnd/11854179X,"Greene, Graham ",1.0,1.0,UB 9180
https://d-nb.info/gnd/1020897465,"Grevet, Yves ",2.0,2.0,UB ? + UB 19926
https://d-nb.info/gnd/118542192,"Grillparzer, Franz ",10.0,8.0,UB 4381 + UB 4430 + UB 4380 + UB 4430 + UB 4378 + UB 4384 + UB 4394 + UB 4392 + UB 4382 + UB 4381
https://d-nb.info/gnd/118542257,"Grimm, Jacob  + Grimm, Wilhelm ",1.0,1.0,UB 14315
https://d-nb.info/gnd/118542265,"Grimm, Jacob  + Grimm, Wilhelm ",1.0,1.0,UB 14315
https://d-nb.info/gnd/118542273,"Grimmelshausen, Hans Jakob Christoffel von ",6.0,3.0,UB 7998 + UB 7452 + UB 7998 + UB 761 + UB 7452 + UB 761
https://d-nb.info/gnd/118702718,"Gronemann, Sammy ",1.0,1.0,UB 1688
https://d-nb.info/gnd/118543032,"Gryphius, Andreas ",19.0,12.0,UB 8935 + UB 9366 + UB 7982 + UB 688 + UB 9751 + UB 917 + UB 18561 + UB 8532 + UB 9751 + UB 9366 + UB 917 + UB 7982 + UB 688 + UB 8935 + UB 7960 + UB 7982 + UB 14013 + UB 14009 + UB 14337
https://d-nb.info/gnd/119371391,"Grünbein, Durs ",1.0,1.0,UB 18795
https://d-nb.info/gnd/118698745,"Guareschi, Giovanni ",2.0,1.0,UB 19735 + UB 19735
https://d-nb.info/gnd/116927054,"Gunnarsson, Gunnar ",3.0,1.0,UB 18633 + UB 18633 + UB 18633
https://d-nb.info/gnd/1043743014,"Gutman, Colas ",1.0,1.0,UB 19854
https://d-nb.info/gnd/131393480,"Guène, Fai͏̈za ",1.0,1.0,UB 19790
https://d-nb.info/gnd/118543202,"Günderode, Karoline von ",1.0,1.0,UB 9722
https://d-nb.info/gnd/122230019,"Hacker, Katharina ",1.0,1.0,UB 14232
https://d-nb.info/gnd/118544330,"Hacks, Peter ",1.0,1.0,UB 18347
https://d-nb.info/gnd/118994212,"Hahn, Ulla ",1.0,1.0,UB 18249
https://d-nb.info/gnd/118545140,"Haller, Albrecht von ",1.0,1.0,UB 19494
https://d-nb.info/gnd/118545515,"Hamsun, Knut ",1.0,1.0,UB 14475
https://d-nb.info/gnd/118545930,"Hardy, Thomas ",2.0,2.0,UB 19094 + UB 19174
https://d-nb.info/gnd/118546228,"Hartmann, von Aue ",10.0,7.0,UB 456 + UB 18530 + UB 18764 + UB 19011 + UB 18530 + UB 19131 + UB 18764 + UB 19906 + UB 19931 + UB 19011
https://d-nb.info/gnd/118546619,"Hasenclever, Walter ",2.0,2.0,UB 18814 + UB 8978
https://d-nb.info/gnd/118546864,"Hauff, Wilhelm ",7.0,4.0,UB 7702 + UB 6706 + UB 85 + UB 6706 + UB 7702 + UB 85 + UB 14298
