ID;Bundesland;Nachname_original;Nachname;GND;Geschlecht;Titel;Erscheinungsjahr;Erscheinungsjahr_k;Lit.preis_Name;Lit.preis_Autor_in_Name;Jug.literatur
1805;Baden-Württemberg;Austen;Austen;https://d-nb.info/gnd/118505173;weiblich;Stolz und Vorurteil;1830;1813;;;nein
2480;Baden-Württemberg;Auster;Auster;https://d-nb.info/gnd/11910251X;männlich;Mond über Manhattan;1989;1989;;;nein
1245;Bayern;Auster;Auster;https://d-nb.info/gnd/11910251X;männlich;unbekannt;unbekannt;1947;;;
771;Niedersachsen;Özdamar;Özdamar;https://d-nb.info/gnd/119406586;weiblich;Das Leben ist eine Karawanserei;1992;1992;Ingeborg-Bachmann-Preis (1991);;nein
1087;Niedersachsen;Özdamar;Özdamar;https://d-nb.info/gnd/119406586;weiblich;Die Brücke vom Goldenen Horn;1998;1998;;;nein
1125;Niedersachsen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Ansichten eines Clowns;1963;1963;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2233;Sachsen-Anhalt;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Ansichten eines Clowns;1963;1963;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2710;Rheinland-Pfalz;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Ansichten eines Clowns;1963;1963;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
177;Hessen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Ansichten eines Clowns;1963;1963;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2232;Sachsen-Anhalt;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Billard um halbzehn;1959;1959;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
1089;Niedersachsen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Billard um halbzehn;1959;1959;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2999;Saarland;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Die verlorene Ehre der Katharina Blum;1974;1974;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2160;Sachsen-Anhalt;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Die verlorene Ehre der Katharina Blum;1974;1974;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
1514;Baden-Württemberg;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Die verlorene Ehre der Katharina Blum;1974;1974;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
716;Niedersachsen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Die verlorene Ehre der Katharina Blum;1974;1974;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
2712;Rheinland-Pfalz;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Die verlorene Ehre der Katharina Blum;1974;1974;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
649;Niedersachsen;Böll;Böll;https://d-nb.info/gnd/118512676;männlich;Die Waage der Baleks;1953;1953;;Nobelpreis für Literatur (1972), Georg-Büchner-Preis (1967);nein
