;ID;GND-Nummer;Eintrag;Seiten;Eintragsart;Anzahl_Seiten;Kommentar;Anzahl_Seiten_neu
439;beutin_per0443;118542524;Gross, Otto;368;Autor;1;;1
440;beutin_per0444;118542672;Grosz, George;387, 475;Autor;2;;2
441;beutin_per0445;118719033;Grün, Anastasius;260;Autor;1;;1
442;beutin_per0446;118542818;Grün, Max von der;739,632 f.;Autor;2;;3
443;beutin_per0447;119371391;Grünbein, Durs;695 , 707, 710, 723,580, 669;Autor;6;;6
444;beutin_per0449;118542842;Grünberg, Karl;405 f., 486;Autor;2;;3
445;beutin_per0450;123392683;GruÅ¡a, JirË‡Ã­;750;Autor;1;;1
446;beutin_per0451;118543032;Gryphius, Andreas;"119–124, 132, 134, 136 ,
138, 474,73, 112";Autor;9;;13
447;beutin_per0452;118698753;Guarini, Giovanni Battista;118;Autor;1;;1
448;beutin_per0453;118699032;Guevara, Antonio de;139;Autor;1;;1
449;beutin_per0454;118543202;Günderrode, Karoline von;213 , 223, 285, 572;Autor;4;;4
450;beutin_per0455;118543628;Gundolf, Friedrich;360;Autor;1;;1
451;beutin_per0456;11854327X;Günther, Johann Christian;130;Autor;1;;1
452;beutin_per0457;118983822;Gurk, Paul;424;Autor;1;;1
453;beutin_per0458;118543768;Gutenberg, Johann;71;Autor;1;;1
454;beutin_per0459;118543830;Gutzkow, Karl;263, 265 , 268 , 309, 455,253, 259;Autor;7;;7
455;beutin_per0460;138347204;Gypkens, Martin;689;Autor;1;;1
456;beutin_per0461;118544039;Haag, Lina;452;Autor;1;;1
457;beutin_per0462;118544209;Habermas, Jürgen;296, 573, 674,154;Autor;4;;4
458;beutin_per0463;122230019;Hacker, Katharina;732 f.;Autor;1;;2
459;beutin_per0464;119328860;Hackl, Erich;715 f.;Autor;1;;2
460;beutin_per0465;118544330;Hacks, Peter;539, 548 , 551, 574, 583,173, 535 f.;Autor;7;;8
461;beutin_per0466;118544381;Haeckel, Ernst;346, 349;Autor;2;;2
462;beutin_per0467;118544411;Haecker, Theodor;485;Autor;1;;1
463;beutin_per0468;118544675;Hagelstange, Rudolf;497,448;Autor;2;;2
464;beutin_per0469;115807454;Hage, Volker;710;Autor;1;;1
465;beutin_per0470;;Hähnel, Ingrid;581;Autor;1;"Konnte ich nicht  zuordnen; ist Hähnel nicht Wiss.? Auf jeden Fall werden beide in Beutin als Ehepaar aufgeführt";1
466;beutin_per0471;;Hähnel, Klaus-Dieter;581;Autor;1;"Konnte ich nicht  zuordnen; ist Hähnel nicht Wiss.? Auf jeden Fall werden beide in Beutin als Ehepaar aufgeführt";1
467;beutin_per0472;118544918;Hahn-Hahn, Ida;284;Autor;1;;1
468;beutin_per0473;118994212;Hahn, Ulla;695;Autor;1;;1
469;beutin_per0474;118545043;Halbe, Max;355;Autor;1;;1
470;beutin_per0475;118545140;Haller, Albrecht von;311;Autor;1;;1
471;beutin_per0476;118701142;Hallmann, Johann Christian;136;Autor;1;;1
472;beutin_per0477;118720155;Hammel, Claus;548;Autor;1;;1
473;beutin_per0478;118545574;Handke, Peter;"620, 628, 643, 663, 723–
726, 749,495, 593";Autor;9;;11
474;beutin_per0479;121174700;Händler, Ernst Wilhelm;740;Autor;1;;1
475;beutin_per0480;124637140;Hanika, Iris;717;Autor;1;;1
476;beutin_per0481;118545663;Hannsmann, Margarete;453;Autor;1;;1
477;beutin_per0482;118720309;Happel, Eberhard Werner;140;Autor;1;;1
478;beutin_per0483;119455587;Hardekopf, Ferdinand;370;Autor;1;;1
479;beutin_per0484;116464860;Harden, Sylvia;377;Autor;1;;1
480;beutin_per0485;119295199;Hardenberg, Henriette;377,373;Autor;2;;2
481;beutin_per0486;118701606;Harig, Ludwig;613, 650;Autor;2;;2
482;beutin_per0487;118546139;Harsdörffer, Georg Philipp;110, 115 , 123, 136, 141;Autor;5;;5
483;beutin_per0488;11872052X;Hart, Julius;345;Autor;1;;1
484;beutin_per0489;118544551;Härtling, Peter;655, 706, 722, 733,225, 643;Autor;6;;6
485;beutin_per0490;118546228;Hartmann von Aue;27 , 34, 37, 44,21;Autor;5;;5
486;beutin_per0491;116997710;Hartwig, Mela;406;Autor;1;;1
487;beutin_per0492;118546619;Hasenclever, Walter;383 , 413, 425, 431, 477,375 f.;Autor;6;;7
488;beutin_per0493;;Hau, Arnold;653;Autor;1;fiktive Figur Neue Frankfurter Schule (16006813-7);1
489;beutin_per0494;139199780;Hauer, Karl;367;Autor;1;;1
490;beutin_per0495;118546864;Hauff, Wilhelm;205, 252;Autor;2;;2
491;beutin_per0496;119433818;Haufs, Rolfs;703, 705;Autor;2;;2
492;beutin_per0497;118546937;Hauptmann, Gerhart;"262, 350–352, 356 , 359,
386, 746, 748,63";Autor;9;;10
493;beutin_per0498;119034743;Haupt, Moritz;8;Autor;1;;1
494;beutin_per0499;116538619;Hauser, Harald;506;Autor;1;;1
495;beutin_per0500;118709216;Haushofer, Albrecht;485,453;Autor;2;;2
496;beutin_per0501;118547135;Hausmann, Manfred;507,49;Autor;2;eig. S. 490 (ändert nichts an Seitenanzahl);2
497;beutin_per0502;118547143;Hausmann, Raoul;387 ,379;Autor;2;;2
498;beutin_per0503;121476561;Haußmann, Leander;688,68;Autor;2;eig. S. 680 (ändert nichts an Seitenanzahl);2
499;beutin_per0504;118547240;Havemann, Robert;557, 561 ,539;Autor;3;;3
500;beutin_per0505;121178609;Hayneccius, Martin;93;Autor;1;;1
501;beutin_per0506;118547437;Heartfi eld, John;260, 387;Autor;2;;2
502;beutin_per0507;118547445;Hebbel, Christian Friedrich;"237, 239, 252, 256, 258,
291 , 296, 330, 333–337";Autor;10;;13
503;beutin_per0508;118547453;Hebel, Johann Peter;192,18;Autor;2;;2
504;beutin_per0509;118547739;Hegel, Georg Wilhelm Friedrich;"185, 224, 234, ,
251, 255, 263, 268, 276,
528, 536, 609, 653, 744";Autor;13;;14
505;beutin_per0510;11556361X;Hegewald, Wolfgang;522;Autor;1;;1
506;beutin_per0511;12414960X;Heidegger, Gotthard;142;Autor;1;;1
507;beutin_per0512;118547798;Heidegger, Martin;609, 744;Autor;2;;2
508;beutin_per0513;118992473;Heiduczek, Werner;571,546;Autor;2;;2
509;beutin_per0514;118709666;Heimburg, Gregor;63;Autor;1;;1
510;beutin_per0515;104352787;Heimburg, Wilhelmine;342;Autor;1;;1
511;beutin_per0516;118840991;Hein, Christoph;"568, 570 , 574 , 577, 671,
683, 687,522, 523";Autor;9;;9
512;beutin_per0517;123266165;Hein, Jakob;311 f., 741 f.;Autor;2;;4
513;beutin_per0518;118548018;Heine, Heinrich;"185, 186, 192, 219, 232,
235, 247 , 251–253, 257–
262, 264–266, 268 , 271,
274, 276–278, 280, 286 ,
290, 292, 296 , 324, 326,
330, 332, 433, 455, 519 ,
538, 553, 653, 706,92, 140";Autor;36;;43
514;beutin_per0519;118548298;Heinrich VI.;36 f., 88;Autor;2;;3
515;beutin_per0520;118548360;Heinrich von Freiberg;31;Autor;1;;1
516;beutin_per0521;118709836;Heinrich von Morungen;37–41, 92;Autor;3;;6
517;beutin_per0522;118773755;Heinrich von Rugge;21, 37;Autor;2;;2
518;beutin_per0523;118709879;Heinrich von St. Gallen;55;Autor;1;;1
519;beutin_per0524;11854845X;Heinrich von Veldeke;28, 37,25;Autor;3;;3
520;beutin_per0525;118548565;Heinse, Wilhelm;201;Autor;1;;1
521;beutin_per0526;118548573;Heinsius, Daniel;117;Autor;1;;1
522;beutin_per0527;118709925;Heiseler, Bernt von;507;Autor;1;;1
523;beutin_per0528;118548700;Heißenbüttel, Helmut;611, 613, 625, 635–637,449;Autor;6;;7
524;beutin_per0529;118548808;Heliodor;143;Autor;1;;1
525;beutin_per0530;118549030;Hemingway, Ernest;602, 607,505;Autor;3;;3
526;beutin_per0531;118773917;Hengstenberg, Ernst Wilhelm;252;Autor;1;;1
527;beutin_per0532;118710427;Henkel, Heinrich;620;Autor;1;;1
528;beutin_per0533;121242307;Hennig von Lange, Alexa;730;Autor;1;;1
529;beutin_per0534;118665855;Hennings, Emmy;387, 406,377, 385;Autor;4;;4
530;beutin_per0535;118927884;Henscheid, Eckhard;651–653;Autor;2;;3
531;beutin_per0536;124140289;Henschel, Gerhard;652;Autor;1;;1
532;beutin_per0537;124117422;Hensel, Jana;754;Autor;1;;1
533;beutin_per0538;119232634;Hensel, Kerstin;701, 738;Autor;2;;2
534;beutin_per0539;118549502;Herbort von Fritzlar;22, 24;Autor;2;;2
535;beutin_per0540;120532387;Herbst, Alban Nikolai;587;Autor;1;;1
