GND,Lovelybooks_Status,Lovelybooks_Autor,Lovelybooks_Stars,Lovelybooks_Bewertungen,Lovelybooks_Bibliotheken,Lovelybooks_Merkzettel,Lovelybooks_aktuell_gelesen,Lovelybooks_gefolgt,GND_Autor
https://d-nb.info/gnd/120825074,page_found,Niccolò Ammaniti,4.0,194.0,274.0,30.0,5.0,,"Ammaniti, Niccolò"
https://d-nb.info/gnd/122350766,page_not_found,,,,,,,,"Ammersbach, Heinrich"
https://d-nb.info/gnd/116299290,page_not_found,,,,,,,,"Ammon, Christoph Friedrich von"
https://d-nb.info/gnd/118648861,page_not_found,,,,,,,,"Amort, Eusebius"
https://d-nb.info/gnd/118645056,page_not_found,,,,,,,,"Amsdorff, Nicolaus von"
https://d-nb.info/gnd/129718025,page_not_found,,,,,,,,"Amthor, Christoph Heinrich"
https://d-nb.info/gnd/116302712,page_not_found,,,,,,,,"Amyntor, Gerhard von"
https://d-nb.info/gnd/118502549,page_found,Jean Améry,4.0,20.0,49.0,6.0,1.0,,"Améry, Jean"
https://d-nb.info/gnd/116303050,page_not_found,,,,,,,,"Anacker, Heinrich"
https://d-nb.info/gnd/118502751,page_found,Günther Anders,4.3,13.0,24.0,2.0,1.0,,"Anders, Günther"
https://d-nb.info/gnd/118848178,page_found,Richard Anders,5.0,11.0,10.0,,2.0,1.0,"Anders, Richard"
https://d-nb.info/gnd/118502786,page_found,Alfred Andersch,3.5,577.0,792.0,17.0,3.0,,"Andersch, Alfred"
https://d-nb.info/gnd/118502794,page_found,Hans Christian Andersen,4.5,684.0,928.0,87.0,24.0,8.0,"Andersen, Hans Christian"
https://d-nb.info/gnd/119111365,page_found,Sascha Anderson,3.5,2.0,,,,,"Anderson, Sascha"
https://d-nb.info/gnd/1307416098,page_found,Asin Andkohiy,4.0,2.0,,,,,"Andkohiy, Asin"
https://d-nb.info/gnd/1037638441,page_not_found,,,,,,,,"Andreae, Gottlieb"
https://d-nb.info/gnd/118502905,page_not_found,,,,,,,,"Andreas, Capellanus"
https://d-nb.info/gnd/116309512,page_not_found,,,,,,,,"Andreas, Fred"
https://d-nb.info/gnd/118502921,page_not_found,,,,,,,,"Andreas-Salomé, Lou"
https://d-nb.info/gnd/118502956,page_found,Stefan Andres,3.6,18.0,36.0,1.0,,,"Andres, Stefan"
https://d-nb.info/gnd/11899669X,page_not_found,,,,,,,,"Andreä, Jacob"
https://d-nb.info/gnd/118502883,page_not_found,,,,,,,,"Andreä, Johann Valentin"
https://d-nb.info/gnd/118503006,page_not_found,,,,,,,,"Andrian-Werburg, Leopold von"
https://d-nb.info/gnd/1243920327,page_not_found,,,,,,,,"André, Johann"
https://d-nb.info/gnd/136566375,page_not_found,,,,,,,,"Angel, Ernst"
https://d-nb.info/gnd/118503111,page_not_found,,,,,,,,"Angelus, Silesius"
https://d-nb.info/gnd/116311118,page_not_found,,,,,,,,"Angely, Louis"
https://d-nb.info/gnd/120315106,page_found,Friedrich Ani,3.7,1368.0,1310.0,134.0,28.0,22.0,"Ani, Friedrich"
https://d-nb.info/gnd/100011780,page_not_found,,,,,,,,"Anna Sophie, Hessen-Darmstadt, Landgräfin"
https://d-nb.info/gnd/118503200,page_found,Mathilde Franziska Anneke,,,,,,,"Anneke, Mathilde Franziska"
https://d-nb.info/gnd/118503251,page_found,Jean Anouilh,3.7,88.0,147.0,3.0,2.0,,"Anouilh, Jean"
https://d-nb.info/gnd/118503472,page_not_found,,,,,,,,"Anton Ulrich, Braunschweig-Lüneburg, Herzog"
https://d-nb.info/gnd/118653067,page_not_found,,,,,,,,"Antonius, von Pforr"
https://d-nb.info/gnd/11850357X,page_found,Ludwig Anzengruber,4.0,22.0,27.0,1.0,,,"Anzengruber, Ludwig"
https://d-nb.info/gnd/116315865,page_found,Johann August Apel,3.7,28.0,28.0,,,,"Apel, Johann August"
https://d-nb.info/gnd/118645455,page_not_found,,,,,,,,"Apian, Petrus"
https://d-nb.info/gnd/118829637,page_found,Bruno Apitz,4.3,11.0,28.0,,1.0,1.0,"Apitz, Bruno"
https://d-nb.info/gnd/118503677,page_not_found,,,,,,,,"Apollonius, Rhodius"
https://d-nb.info/gnd/11850374X,page_found,Apuleius,4.2,50.0,91.0,10.0,2.0,,"Apuleius, Madaurensis"
https://d-nb.info/gnd/118649914,page_not_found,,,,,,,,"Aquila, Kaspar"
https://d-nb.info/gnd/1188043420,page_found,Nando von Arb,5.0,1.0,,,,,"Arb, Nando von"
https://d-nb.info/gnd/118503839,page_not_found,,,,,,,,"Archenholz, Johann Wilhelm von"
https://d-nb.info/gnd/118503855,page_not_found,,,,,,,,Archilochus
https://d-nb.info/gnd/118645609,page_not_found,,,,,,,,Archipoeta
https://d-nb.info/gnd/119608561,page_not_found,,,,,,,,"Arconatus, Hieronymus"
https://d-nb.info/gnd/118503901,page_found,Erich Arendt,,,,,,,"Arendt, Erich"
https://d-nb.info/gnd/11850391X,page_found,Hannah Arendt,4.3,188.0,327.0,62.0,13.0,6.0,"Arendt, Hannah"
https://d-nb.info/gnd/118812351,page_found,Birgitta Arens,3.5,2.0,,,,,"Arens, Birgitta"
https://d-nb.info/gnd/118503987,page_found,Aristophanes,4.0,43.0,76.0,6.0,1.0,,Aristophanes
https://d-nb.info/gnd/118650130,page_found,Aristoteles,4.2,135.0,236.0,10.0,10.0,4.0,Aristoteles
https://d-nb.info/gnd/118184555,page_found,Jakob Arjouni,3.9,722.0,607.0,36.0,7.0,11.0,"Arjouni, Jakob"
https://d-nb.info/gnd/108979792,page_not_found,,,,,,,,"Arlati, Renato P."
https://d-nb.info/gnd/115602348,page_not_found,,,,,,,,"Armbruster, Johann Michael"
https://d-nb.info/gnd/118504061,page_found,Frank Arnau,3.8,4.0,,,1.0,,"Arnau, Frank"
https://d-nb.info/gnd/12465200X,page_not_found,,,,,,,,"Arnds, Wilhelm Erasmus"
https://d-nb.info/gnd/124704697,page_found,Ernst M. Arndt,,,,,,,"Arndt, Ernst M."
https://d-nb.info/gnd/105567134X,page_not_found,,,,,,,,"Arndt, Johann"
https://d-nb.info/gnd/1243899247,page_found,Rudolf Arnheim,4.0,3.0,,,,,"Arnheim, Rudolf"
https://d-nb.info/gnd/118504177,page_found,Achim von Arnim,3.4,38.0,70.0,2.0,4.0,,"Arnim, Achim von"
https://d-nb.info/gnd/118504185,page_found,Bettina von Arnim,3.9,27.0,55.0,3.0,3.0,2.0,"Arnim, Bettina von"
https://d-nb.info/gnd/11907074X,page_found,Gisela von Arnim,3.0,1.0,,,,,"Arnim, Gisela von"
https://d-nb.info/gnd/118650319,page_not_found,,,,,,,,"Arnisäus, Henning"
https://d-nb.info/gnd/1055730869,page_found,Christoph Arnold,,,,,,,"Arnold, Christoph"
https://d-nb.info/gnd/1166284204,page_found,Gottfried Arnold,,,,1.0,,,"Arnold, Gottfried"
https://d-nb.info/gnd/100017045,page_not_found,,,,,,,,"Arnold, Ignaz Ferdinand"
https://d-nb.info/gnd/118927698,page_not_found,,,,,,,,"Arnold, Johann Georg Daniel"
https://d-nb.info/gnd/118819704,page_not_found,,,,,,,,"Arnold, Lübeck, Abt"
https://d-nb.info/gnd/118504207,page_not_found,,,,,,,,"Arnold, der Priester"
https://d-nb.info/gnd/118847988,page_not_found,,,,,,,,"Arnoldi, Bartholomäus"
https://d-nb.info/gnd/129625760,page_not_found,,,,,,,,"Arnoldt, Daniel Heinrich"
https://d-nb.info/gnd/119512297,page_not_found,,,,,,,,"Arnschwanger, Johann Christoph"
https://d-nb.info/gnd/118504398,page_found,Hans Arp,5.0,3.0,,,,1.0,"Arp, Hans"
