,GND,GND_name,GND_gender,GND_birth,GND_death,GND_occupation,GND_country
6211,118895680,"Spohn, Jürgen",Männlich,1934-06-10,1992-06-18,Grafiker + Kinderbuchautor + Illustrator,Deutschland
6212,118896261,"Besler, Basilius",Männlich,1561,1629,Apotheker + Botaniker,Deutschland
6213,118897322,"Selhamer, Christoph",Unbekannt,1636,1708-10-17,Pfarrer + Priester + Prediger,Österreich + Deutschland
6214,118897497,"Steiner, Franz Baermann",Männlich,1909-10-12,1952-11-27,Schriftsteller + Lyriker + Ethnologe,Österreich + Großbritannien
6215,118897594,"Rauscher, Wolfgang",Unbekannt,1641,1709,Theologe,Deutschland
6216,118899619,"Esterházy, Péter",Männlich,1950-04-14,2016-07-14,Schriftsteller,Ungarn
6217,118900145,"Clapis, Petrus Antonius de",Unbekannt,1440,1512,Jurist,Italien
6218,118902458,"Szczypiorski, Andrzej",Männlich,1928-02-03,2000-05-16,Schriftsteller,Polen
6219,118902768,"Just, Gustav",Männlich,1921-06-16,2011-02-23,Journalist + Übersetzer + Politiker + Lehrer + Politischer Gefangener,Tschechische Republik + Deutschland (DDR) + Deutschland
6220,118902997,"Tielsch, Ilse",Weiblich,1929-03-20,2023-02-21,Schriftstellerin + Librettistin,Österreich
6221,118903004,"Perec, Georges",Männlich,1936-03-07,1982-03-03,Schriftsteller + Filmregisseur,Frankreich
6222,118903993,"Rathenow, Lutz",Männlich,1952,,Schriftsteller + Lyriker + Kinderbuchautor + Journalist,Deutschland
6223,11890423X,"Bécquer, Gustavo Adolfo",Männlich,1836,1870,Schriftsteller + Maler + Zeichner + Musiker,Spanien
6224,118904418,"Tiedge, Christoph August",Männlich,1752-12-14,1841-03-08,Schriftsteller + Lyriker + Philosoph + Reisender + Gesellschafter + Librettist,Deutschland
6225,118904779,"Hillern, Wilhelmine von",Weiblich,1836-03-11,1916-12-25,Schauspielerin + Schriftstellerin + Erzählerin + Schriftstellerin + Schauspielerin,Deutschland
6226,11890616X,"Berghaus, Ruth",Weiblich,1927-07-02,1996-01-25,Regisseurin + Choreografin + Regisseurin + Theaterintendantin + Choreografin,Deutschland
6227,118906755,"Reinecker, Herbert",Männlich,1914-12-24,2007-01-27,Drehbuchautor + Schriftsteller + Schriftsteller + Dramatiker,Deutschland
6228,11890700X,"Nas, Johannes",Männlich,1534-03-19,1590-05-16,Katholischer Theologe + Weihbischof + Hofprediger + Mönch + Priester,Deutschland
6229,118908154,"Hagedorn, Christian Ludwig von",Männlich,1712-02-14,1780-01-24,Kunsthistoriker + Verleger + Autor + Kunstsammler + Radierer,Deutschland
6230,118908782,"Benigni, Roberto",Männlich,1952-10-27,,Schauspieler + Musiker + Regisseur + Filmschaffender + Schauspieler,Italien
6231,118911139,"Schiller, Jörg",Unbekannt,,,Meistersinger,Deutschland
6232,11891118X,"Pastior, Oskar",Männlich,1927-10-20,2006-10-04,Schriftsteller + Übersetzer + Rundfunkredakteur + Zeichner + Lyriker + Librettist,Deutschland + Rumänien
6233,118911198,"Gröner, Walter",Männlich,1950,,Schriftsteller,Deutschland
6234,118911201,"Vesper, Guntram",Männlich,1941-05-28,2020-10-22,Schriftsteller + Lyriker + Bibliophiler + Zeichner,Deutschland
6235,11891121X,"Waterhouse, Peter",Männlich,1956,,Schriftsteller + Übersetzer + Literaturwissenschaftler + Hochschullehrer,Österreich + Deutschland
6236,118911244,"Hein, Manfred Peter",Männlich,1931-05-25,2025-05-10,Schriftsteller + Lyriker + Übersetzer,Deutschland + Finnland
6237,118911422,"Welling, Georg von",Männlich,1655,1727,Theosoph + Alchemist,Deutschland
6238,118911627,"Morrison, Toni",Weiblich,1931-02-18,2019-08-05,Schriftstellerin + Hochschullehrerin + Redakteurin + Jugendbuchautorin,USA
6239,118911856,"Hedrich, Franz",Männlich,1823,1895-10-31,Schriftsteller + Schriftsteller,Österreich + Großbritannien + Tschechische Republik + Deutschland
6240,118912984,VALIE EXPORT,Weiblich,1940-05-17,,Künstlerin + Performancekünstlerin + Regisseurin + Filmregisseurin,Deutschland + Österreich
6241,118913840,"Steigentesch, August von",Männlich,1774-01-12,1826-12-30,Diplomat + General + Schriftsteller + Lyriker,Deutschland
6242,118913859,"Buchner, August",Männlich,1591-11-02,1661-02-12,Philologe + Klassischer Philologe + Philosoph + Hochschullehrer + Schriftsteller,Deutschland
6243,118914480,"Iser, Wolfgang",Männlich,1926-07-22,2007-01-24,Philologe + Anglist + Literaturwissenschaftler,Deutschland
6244,118915835,"De Crescenzo, Luciano",Männlich,1928-08-18,2019-07-18,Schriftsteller + Regisseur + Ingenieur + Moderator,Italien
6245,118915967,"Hinderbach, Johannes",Männlich,1418-08-15,1486-09-21,Humanist + Jurist,Deutschland + Italien
6246,118916130,"Pape, Ambrosius",Männlich,1553,1612,Pfarrer + Dramatiker + Dramatiker,Deutschland
6247,118916920,"Schramm, Godehard",Männlich,1943-12-24,,Schriftsteller + Übersetzer + Erzähler + Rundfunkredakteur,Deutschland + Russland
6248,118917447,"Haßler, Hans Leo",Männlich,1564,1612-06-08,Komponist + Organist,Deutschland
6249,118918664,"Kauer, Walther",Unbekannt,1935,1987,Schriftsteller,Schweiz
6250,118919849,"Wameshaft, Erhard",Unbekannt,,,,Deutschland
6251,118920766,"Mulisch, Harry",Männlich,1927-07-29,2010-10-30,Schriftsteller,Niederlande
6252,118920952,"Bligger, von Steinach",Männlich,,,Minnesänger,Deutschland
6253,118921088,"Marpurg, Friedrich Wilhelm",Männlich,1718-10-01,1795-05-22,Musikwissenschaftler + Musiker + Komponist + Verteidigungsminister + Musikschriftsteller,Deutschland
6254,118921517,"Echtermeyer, Theodor",Männlich,1805,1844,Schriftsteller,Deutschland
6255,118921541,"Eisenreich, Herbert",Unbekannt,1925-02-07,1986-06-06,Schriftsteller,Österreich
6256,11892155X,"Bruns, Max",Männlich,1876-07-13,1945-07-23,Schriftsteller + Verleger + Buchdrucker + Übersetzer + Lyriker,Deutschland
6257,118922335,"Duden, Anne",Unbekannt,1942-01-01,,Schriftstellerin + Hochschullehrerin,Deutschland + Großbritannien
6258,118924389,"Delius, Friedrich Christian",Männlich,1943-02-13,2022-05-30,Schriftsteller + Germanist + Literaturwissenschaftler + Lektor <Verlag> + Schriftsteller,Deutschland + Italien
6259,118927698,"Arnold, Johann Georg Daniel",Männlich,1780-02-18,1829-02-18,Schriftsteller + Historiker + Jurist + Schriftsteller,Deutschland
6260,118927884,"Henscheid, Eckhard",Männlich,1941,,Schriftsteller + Satiriker,Deutschland
6261,118928171,"Mosellanus, Petrus",Männlich,1493-03-01,1529-04-19,Humanist + Theologe + Hochschullehrer + Gymnasiallehrer + Rektor,Deutschland
6262,118928244,"Federspiel, Jürg",Männlich,1931-06-28,2007-01-12,Schriftsteller + Schriftsteller,Deutschland + Schweiz
6263,118928511,"Rosenlöcher, Thomas",Männlich,1947-07-29,2022-04-13,Schriftsteller + Lyriker,Deutschland
6264,118928635,"Erb, Elke",Weiblich,1938-02-18,2024-01-22,Schriftstellerin + Lyrikerin + Lektorin <Verlag> + Übersetzerin,Deutschland
6265,118928678,"Rewald, Ruth",Weiblich,1906-06-05,1942,Schriftstellerin,Deutschland
6266,118928686,"Zürn, Unica",Weiblich,1916-07-06,1970-10-19,Schriftstellerin + Künstlerin,Deutschland
6267,118929852,"Riccabona, Max",Unbekannt,1915,1997,Schriftsteller + Künstler,Österreich
6268,118930397,"Reitz, Edgar",Männlich,1932-11-01,,Regisseur + Filmregisseur + Kameramann + Drehbuchautor + Filmproduzent + Schauspieler + Filmregisseur,Deutschland
6269,118931164,"Jaschke, Gerhard",Männlich,1949-04-07,2025-01-10,Lyriker + Schriftsteller + Verleger + Künstler + Rechtswissenschaft,Österreich
6270,118931229,"Hoffer, Klaus",Männlich,1942,,Schriftsteller + Übersetzer,Österreich
6271,118931911,"Morgenstern, Karl",Männlich,1770-08-28,1852-09-27,Bibliothekar + Klassischer Philologe + Kunstsammler,Deutschland + Estland
6272,118933256,"Stromer, Ulman",Männlich,1329-01-06,1407-04-13,Papiermacher + Politiker + Autor + Patriziat,Deutschland
6273,118934163,"Li, Bai",Männlich,0701,0762,Schriftsteller + Philosoph,China
6274,118934457,"Nick, Dagmar",Weiblich,1926-05-30,,Schriftstellerin + Übersetzerin + Lyrikerin + Sprecherin + Musikerin + Sprechstimme,Deutschland
6275,11893449X,"Key, Ellen",Weiblich,1849-12-11,1926-04-25,Schriftstellerin + Pädagogin + Feministin,Schweden
6276,11893466X,"Ford, Richard",Männlich,1944,,Schriftsteller,USA
6277,118935380,"Valangin, Aline",Weiblich,1889-02-09,1986-08-07,Schriftstellerin,Schweiz
6278,118936123,"Lentz, Michael",Männlich,1964-05-15,,Schriftsteller + Lyriker + Musiker + Literaturwissenschaftler + Hochschullehrer + Sprecher,Deutschland
