GND,author,title,year,state,ID_orig
118601172,Rinser,Abaelards Liebe,1991,Rheinland-Pfalz,2882
118885006,Süskind,Das Parfum,1985,Rheinland-Pfalz,2915
118607626,Schiller,Der Verbrecher aus verlorener Ehre,1786,Rheinland-Pfalz,2886
118607626,Schiller,Die Jungfrau von Orleans,1801,Rheinland-Pfalz,2890
118607626,Schiller,Die Räuber,1781,Rheinland-Pfalz,2883
118607626,Schiller,Die Verschwörung des Fiesco zu Genua,1783,Rheinland-Pfalz,2884
118607626,Schiller,Don Carlos,1787,Rheinland-Pfalz,2887
118607626,Schiller,Kabale und Liebe,1784,Rheinland-Pfalz,2885
118607626,Schiller,Maria Stuart,1800,Rheinland-Pfalz,2889
118607626,Schiller,unbekannt,,Rheinland-Pfalz,2892
118607626,Schiller,Wallenstein,1798,Rheinland-Pfalz,2888
118607626,Schiller,Wilhelm Tell,1804,Rheinland-Pfalz,2891
118607987,Schlegel,Lucinde,1799,Rheinland-Pfalz,2893
118609475,Schnabel,Insel Felsenburg,1731,Rheinland-Pfalz,2894
118609475,Schnabel,Insel Felsenburg. Wunderliche Fata einiger Seefahrer,1743,Rheinland-Pfalz,2895
118758675,Schneider,Paarungen,1992,Rheinland-Pfalz,2896
119279487,Schneider,Schlafes Bruder,1992,Rheinland-Pfalz,2897
118609807,Schnitzler,Reigen,1903,Rheinland-Pfalz,2898
119368994,Schwaiger,Wie kommt das Salz ins Meer,1977,Rheinland-Pfalz,2899
118612743,Seghers,Das siebte Kreuz,1939,Rheinland-Pfalz,2900
118612743,Seghers,Transit,1947,Rheinland-Pfalz,2901
118614444,Simmel,Mit den Clowns,1987,Rheinland-Pfalz,2902
118615688,Sophokles,Antigone,-442,Rheinland-Pfalz,2903
118615688,Sophokles,König Ödipus,-429,Rheinland-Pfalz,2905
119151839,Sperr,Jagdszenen aus Niederbayern,1965,Rheinland-Pfalz,2906
118617958,Sternheim,Der Snob,1914,Rheinland-Pfalz,2908
118617958,Sternheim,Die Hose,1911,Rheinland-Pfalz,2907
118618725,Storm,Der Schimmelreiter,1888,Rheinland-Pfalz,2909
118618725,Storm,unbekannt,,Rheinland-Pfalz,2910
118618830,Stramm,Patroullie,1915,Rheinland-Pfalz,2911
118618830,Stramm,Sturmangriff,1915,Rheinland-Pfalz,2912
118619047,Strauß,Die Zeit und d. Zimmer,1989,Rheinland-Pfalz,2914
118619047,Strauß,"Paare, Passanten",1981,Rheinland-Pfalz,2913
120440210,Tannen,Das hab ich nicht gesagt,1992,Rheinland-Pfalz,2917
120440210,Tannen,Du kannst mich einfach nicht verstehen,1991,Rheinland-Pfalz,2916
12989432X,Tieck,Der blonde Eckbert,1797,Rheinland-Pfalz,2918
12989432X,Tieck,Franz Sternbalds Wanderungen,1798,Rheinland-Pfalz,2919
12989432X,Tieck,unbekannt,,Rheinland-Pfalz,2920
118623362,Torberg,Der Schüler Gerber,1930,Rheinland-Pfalz,2921
118623575,Trakl,Grodek,1914,Rheinland-Pfalz,2922
118623575,Trakl,unbekannt,,Rheinland-Pfalz,2923
,,Gespräch über Bäume,1966,Rheinland-Pfalz,2757
,,Hildebrandslied,,Rheinland-Pfalz,2924
,,Nibelungenlied,,Rheinland-Pfalz,2925
11876442X,van Hoddis,unbekannt,,Rheinland-Pfalz,2926
118546228,von Aue,Der arme Heinrich,1190,Rheinland-Pfalz,2927
118520040,von Chamisso,Peter Schlemihls wundersame Geschichte,1814,Rheinland-Pfalz,2928
118628976,von der Vogelweide,Reichssprüche,1198,Rheinland-Pfalz,2929
118527533,von Droste-Hülshoff,Die Judenbuche,1842,Rheinland-Pfalz,2930
118529390,von Eichendorff,Der Abend,1826,Rheinland-Pfalz,2932
118529390,von Eichendorff,Frische Fahrt,1815,Rheinland-Pfalz,2931
118529390,von Eichendorff,Mondnacht,1837,Rheinland-Pfalz,2934
118529390,von Eichendorff,Sehnsucht,1834,Rheinland-Pfalz,2933
118529390,von Eichendorff,unbekannt,,Rheinland-Pfalz,2935
118634933,von Eschenbach,Parzival,1200,Rheinland-Pfalz,2936
118552589,von Fallersleben,Das Lied der Deutschen,1841,Rheinland-Pfalz,2937
118540238,von Goethe,An Schwager Kronos,1774,Rheinland-Pfalz,2939
118540238,von Goethe,Die Leiden des jungen Werthers,1774,Rheinland-Pfalz,2941
118540238,von Goethe,Faust,1808,Rheinland-Pfalz,2949
118540238,von Goethe,Ganymed,1774,Rheinland-Pfalz,2940
118540238,von Goethe,Götz von Berlichingen,1773,Rheinland-Pfalz,2938
118540238,von Goethe,Grenzen der Menschheit,1789,Rheinland-Pfalz,2945
118540238,von Goethe,Gretchentragödie (In: Urfaust),1775,Rheinland-Pfalz,2942
