,GND,searchphrase,BDSL_hits_2000_all
420,1025555295,Kristina Aamand,0.0
421,102558701,Meister Babiloth,2.0
422,102559619,Biterolf,13.0
423,102565392,Ludwig Dringenberg,0.0
424,102565457,Hirzelin,0.0
425,10256549X,Ulrich Höpp,0.0
426,1025667069,Hildegard Maria Rauchfuß,2.0
427,102571058,Ehrenbote,0.0
428,102572275,Fegfeuer,0.0
429,102572852,Frauenzucht,3.0
430,102573603,Konrad Humery,2.0
431,102574294,Arnold Immessen,0.0
432,102574677,von Freiberg Johannes,3.0
433,102574758,von Zimmern Johannes Werner,1.0
434,1025759656,Johannes Jansen,7.0
435,1025836707,Olivia Wenzel,14.0
436,1025857704,Vea Kaiser,7.0
437,1025902009,Justus Samuel Quirl,0.0
438,1025918118,William Sleator,0.0
439,1026090660,Edmund Wengraf,0.0
440,1026215927,Evan Kuhlman,0.0
441,1026318580,Erik Schilling,58.0
442,1026395003,Robert Nespital,0.0
443,1026433428,Urte Stobbe,28.0
444,1026450284,Timur Vermes,10.0
445,1026874327,Moritz Horn,1.0
446,1026886295,Dieter Breuer,108.0
447,1027016308,Simone Schneider,1.0
448,1027730957,Manuel Braun,66.0
449,1028278683,Hainer Plaul,2.0
450,102828725,von Wien Leopold,3.0
451,1028288379,Christian Rößner,1.0
452,102835101,Johannes Montanus,2.0
453,102839662,Fritz Kettner,0.0
454,102840466,Niemand,288.0
455,102840660,von Arberg Peter,2.0
456,1028639589,Jörg Piringer,2.0
457,10286649X,Konrad Nesen,0.0
458,1028874774,Andrew Grant Jackson,0.0
459,102953652X,Otto Laaber,1.0
460,1029704988,René Schwachhofer,0.0
461,1029754632,Hans Siemsen,5.0
462,1029911142,Josef Schiller,2.0
463,1030453152,Christian Wagner,80.0
464,103076190,Christoph Ostorodt,0.0
465,103086838,Sigismundus Gossembrot,1.0
466,103101616,der Kellner Heinz,0.0
467,103115226,Konrad Sälder,0.0
468,103116745,Philipp Johann Tilemann,0.0
469,103119663,Johann Roeling,1.0
